combination,accuracy
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'channel')","[0.5920745957379039, 0.008027424027364742]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'title_bit_count', 'author', 'channel')","[0.5911038354429261, 0.007924268126227645]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'author', 'channel')","[0.5910996184474371, 0.009091921531002634]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'title_bit_count', 'author', 'channel')","[0.5909714599314686, 0.009405268475653757]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'author')","[0.5908954242619371, 0.008678539018212297]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count', 'author', 'channel')","[0.5904452745816108, 0.00787993444731106]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'title_bit_count', 'author')","[0.5904292043532489, 0.00619829559368878]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'title_word_count', 'channel')","[0.5902284463534235, 0.007154799895125893]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count', 'title_bit_count', 'channel')","[0.5901471038198716, 0.006921114330950978]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'author', 'channel')","[0.5900633469013771, 0.008992861014917464]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count', 'channel')","[0.5899666505157205, 0.007654917433404953]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'title_bit_count', 'channel')","[0.5897518969775358, 0.006301846578568246]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'title_word_count', 'author', 'channel')","[0.589701403351339, 0.007648822950523172]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'title_word_count', 'title_bit_count', 'channel')","[0.5896652960410564, 0.006151412660101779]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count', 'title_word_count', 'title_bit_count', 'author', 'channel')","[0.5896580365287049, 0.008297540362802704]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count', 'title_bit_count', 'author', 'channel')","[0.5896213862491058, 0.005348345507122574]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'channel')","[0.5895531137574767, 0.0076271432190170236]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count', 'channel')","[0.5895462684413708, 0.0077361851719503156]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count', 'title_bit_count', 'author', 'channel')","[0.589490066953504, 0.006001985806182481]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'title_bit_count')","[0.5893950214853552, 0.005665871945284399]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count', 'title_bit_count', 'channel')","[0.5889943467844698, 0.006383857060935104]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5889721147254028, 0.004780257085042765]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'title_bit_count', 'channel')","[0.5889324657159976, 0.005888751671762809]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count', 'title_bit_count', 'author')","[0.5887175667556591, 0.00924482941629077]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'title_word_count', 'channel')","[0.5886219268906225, 0.006818804692028389]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'title_word_count', 'author', 'channel')","[0.5885732603381926, 0.006376595873868589]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count', 'title_word_count', 'author', 'channel')","[0.5885662513768531, 0.007356304452754061]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'title_word_count', 'title_bit_count', 'author', 'channel')","[0.5885511609439613, 0.010575240482184079]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'title_bit_count', 'author')","[0.5883067953568967, 0.007671804812021616]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count', 'title_word_count', 'author')","[0.5881958887734295, 0.005613729237224317]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count', 'title_word_count', 'channel')","[0.5881702067001415, 0.007368538331588064]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'title_word_count', 'title_bit_count', 'author', 'channel')","[0.5879480614128989, 0.007168940149871567]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5878950582172436, 0.0033924704552661267]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'author')","[0.5878487076513329, 0.008247311964408283]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count', 'title_word_count', 'title_bit_count', 'author', 'channel')","[0.587736646969117, 0.007426861319963614]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count', 'title_word_count', 'channel')","[0.5877124429037658, 0.005749301338301122]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count', 'author', 'channel')","[0.5876488711663784, 0.008882747459393497]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len')","[0.5876429925480593, 0.006522575498074022]"
